EV Manufacturer,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Ola Electric,32424,34063,53643,34163,37387,36858,41800,27623,24748,41817,29252,13769,4072047
TVS Motor Co,15358,14639,26264,7762,11886,14028,19655,17666,18254,30180,27208,17276,2207547
Bajaj Auto,10891,11763,18088,7559,9249,9050,17765,16813,19213,28415,26357,18276,193439
Ather Energy,9378,9096,17429,4143,6153,6216,10218,11044,12925,16233,12909,10421,43693
Hero MotoCorp,1495,1757,4084,956,2460,3081,5066,4760,4320,7350,7344,1020,43165
Greaves Electric Mobility,2358,2488,3010,2512,1958,2716,3159,2823,2779,3990,4470,2795,35058
Bgauss Auto,1487,1350,3114,713,1160,1062,1793,1111,1237,2022,1878,1100,18027
Kinetic Green Energy,820,634,3968,442,450,457,689,388,467,1445,1096,601,11457
Wardwizard Innovations,977,842,1202,1209,1265,898,853,734,647,703,980,784,10914
Revolt Intellicorp,533,480,595,746,687,660,871,724,705,955,2001,994,9951
Bounce Electric,286,317,560,79,94,102,667,791,1205,1006,858,1007,6972
Okaya EV,581,657,1233,373,521,519,468,410,316,318,501,205,6102
Quantum Energy,383,445,370,426,523,675,645,359,336,516,379,555,5612
Pur Energy,620,498,461,376,432,339,390,291,277,335,432,1087,5538
Lectrix EV,507,355,671,122,210,397,371,242,292,535,991,562,5255
Okinawa Autotech,683,660,680,593,491,374,374,203,146,232,235,184,4855
KLB Komaki,300,213,249,201,282,276,333,417,402,278,334,286,3571
Battre Electric Mobility,287,222,634,88,189,229,171,263,221,365,254,177,3100
Hero Electric Vehicles,419,327,321,279,279,283,286,194,160,150,158,58,2914
River Mobility,43,84,167,245,167,200,222,277,302,368,238,194,2507
Odysse EVs,5,11,86,127,104,97,83,100,208,300,62,350,1533
Simple Energy,35,131,192,50,73,53,40,19,107,330,228,141,1399
Go-reen E-Mobility,136,128,176,149,115,147,89,53,25,194,26,134,1372
Ivoomi Innovation,133,114,101,85,64,74,87,96,71,84,134,72,1115
Ampere Vehicles,178,122,139,164,103,99,44,105,45,25,20,45,1089
