E3W Manufacturer,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Mahindra Last Mile Mobility,4668,4996,7482,3136,4534,4783,6973,5159,6140,7473,7135,5521,68000
YC Electric Vehicle,3375,3356,3319,2937,3779,3356,3856,3793,3827,4601,3978,3800,43977
Bajaj Auto,1578,1380,3354,1281,2358,2542,3692,4029,4999,6303,6125,4238,41879
Saera Electric Auto,2360,2090,2189,1968,2473,2471,2573,2807,2514,2484,2263,2102,28294
Dilli Auto Electric,2007,1991,2187,1612,2206,1963,2269,2208,2097,2388,2043,2060,25029
Piaggio Vehicles,2134,2004,3309,696,1376,1284,1956,1559,1683,1941,2464,1356,21762
Mini Metro,1114,1154,1155,963,1317,1296,1433,1338,1175,1384,1229,1197,14755
Energy Electric Vehicles,1044,918,1015,953,1068,1070,1240,1307,1202,1187,1233,1152,13389
Unique International,1114,1025,1072,956,1324,1173,1340,1170,1199,1180,1166,987,13706
Hotage India,1184,987,1019,882,993,1033,1205,1271,1115,951,933,916,12489
Champion Polyplast,992,910,928,783,993,935,1016,984,1001,1005,902,750,11199
Sahniamnd E-Vehicles,713,642,733,600,805,690,907,844,885,1036,1040,1204,10099
SKS Trade India,909,781,852,726,960,887,954,1010,964,1007,930,989,10969
JS Auto,826,903,972,729,907,928,897,1045,941,897,912,982,10969
Khalsa E-Vehicles,811,684,744,623,823,850,946,873,888,910,686,675,9513
Thukral Electric Bikes,821,682,750,649,838,747,786,799,751,886,872,873,9454
Allfine Industries,882,867,873,788,852,825,1126,1064,794,711,273,235,9290
Terra Motors India,642,831,766,535,722,658,840,750,829,783,672,736,8764
Vanshi Electric Vehicles,619,578,680,517,653,668,806,763,748,727,582,480,7821
Daksh Industries,593,579,593,441,616,597,634,706,636,625,514,607,7141
Atul Auto,432,408,589,441,940,485,594,526,503,646,559,743,6866
Zeeplus Axis India,444,394,478,418,545,540,676,667,657,660,627,621,6727
Zenial Innovation India,251,289,252,271,291,418,828,669,838,752,672,1013,6544
TI Clean Mobility,366,459,745,193,327,385,579,596,600,633,703,448,6034
Omega Seiki Mobility,367,497,2246,306,316,363,534,445,513,455,475,383,6900
Bestway Agencies,530,490,546,382,499,433,607,538,529,536,482,505,6077
Lectrix EV,570,568,595,469,534,483,529,423,466,479,401,338,5855
Shri Barsana E-Vehicles,472,467,427,390,453,441,517,537,588,514,478,448,5732
Vijays Coolmax,407,493,485,336,418,424,480,477,453,416,377,454,5220
Hooghly Motors,428,343,381,340,357,385,513,546,516,442,375,461,5087
Nova Automotive,435,374,540,368,367,365,319,353,368,358,378,222,4447
Movestone Services,263,296,341,241,313,311,464,528,448,404,337,287,4233
