EV OEM,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Tata Motors,5790,5139,7178,5172,5302,4587,5085,4386,3825,6560,4374,4037,61435
JSW MG Motor India,1201,1096,1173,1267,1508,1476,1613,1433,1015,2767,3288,3627,21464
Mahindra & Mahindra,784,646,691,668,593,486,518,337,473,950,575,383,7104
BYD India,163,151,144,157,177,243,356,226,175,394,349,284,2819
PCA India (Citroen),31,84,178,130,87,238,159,162,388,257,82,77,1873
BMW India,153,129,74,59,74,57,78,71,115,156,104,140,1210
Hyundai Motor India,170,126,153,91,103,63,59,41,28,36,21,19,910
Mercedes-Benz,62,46,53,134,64,47,35,53,86,160,104,96,940
Volvo Auto India,55,46,51,40,42,48,44,33,15,19,32,17,442
Kia India,38,23,34,22,22,16,17,20,20,47,72,77,408
Audi,15,22,9,13,7,19,19,10,14,4,3,8,143
Porsche,10,3,17,10,3,4,5,4,3,4,1,9,73
Rolls-Royce,0,1,1,0,1,2,1,1,1,3,1,4,16
JLR India,0,1,0,0,0,3,0,0,0,0,0,4,8
